,Movie_Title,Year_of_Release,Director,Genre,Runtime,IMDb_Rating,IMDb_Votes,Metascore,Gross,Plot_Outline
0,3 Idiots,2009,Director:Rajkumar Hirani,"Comedy, Drama            ",170 min,8.4,"3,64,795",67,$6.53M,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
1,Like Stars on Earth,2007,"Directors:Aamir Khan,Amole Gupte","Drama, Family            ",165 min,8.4,"1,79,308", ,$1.22M,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school."
2,PK,2014,Director:Rajkumar Hirani,"Comedy, Drama, Musical            ",153 min,8.1,"1,71,288", ,$10.62M,An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.
3,Radhe,2021,Director:Prabhu Deva,"Action, Crime, Thriller            ",135 min,1.8,"1,70,717", , ,"After taking the dreaded gangster Gani Bhai, ACP Rajveer Shikawat aka Radhe goes on a manhunt to find the wealthiest man of the town secretly running a crime syndicate."
4,Dangal,2016,Director:Nitesh Tiwari,"Action, Biography, Drama            ",161 min,8.4,"1,69,425", ,$12.39M,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.
5,Dil Bechara,2020,Director:Mukesh Chhabra,"Comedy, Drama, Romance            ",101 min,8.1,"1,22,907", , ,"The emotional journey of two hopelessly in love youngsters, a young girl, Kizie, suffering from cancer, and a boy, Manny, whom she meets at a support group."
6,Rang De Basanti,2006,Director:Rakeysh Omprakash Mehra,"Comedy, Crime, Drama            ",167 min,8.1,"1,16,016", ,$2.20M,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom."
7,Lagaan: Once Upon a Time in India,2001,Director:Ashutosh Gowariker,"Drama, Musical, Sport            ",224 min,8.1,"1,08,843",84,$0.07M,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.
8,My Name Is Khan,2010,Director:Karan Johar,Drama            ,165 min,8,"1,02,228",50,$4.02M,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.
9,Sadak 2,2020,Director:Mahesh Bhatt,"Action, Drama            ",133 min,1.1,"92,353", , ,"The film picks up where Sadak left off, revolving around the journey with a young girl who becomes an important character in the life of the protagonist, and the reason for him to stay alive."
10,Gangs of Wasseypur,2012,Director:Anurag Kashyap,"Action, Crime, Drama            ",321 min,8.2,"88,815",89, ,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations."
11,Swades,2004,Director:Ashutosh Gowariker,Drama            ,189 min,8.2,"86,595", ,$1.22M,A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.
12,Andhadhun,2018,Director:Sriram Raghavan,"Crime, Drama, Music            ",139 min,8.2,"81,261", ,$1.37M,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of."
13,Bajrangi Bhaijaan,2015,Director:Kabir Khan,"Action, Adventure, Comedy            ",163 min,8,"80,293", ,$8.18M,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.
14,Barfi!,2012,Director:Anurag Basu,"Comedy, Drama, Romance            ",151 min,8.1,"78,395", ,$2.80M,Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.
15,Munna Bhai M.B.B.S.,2003,Director:Rajkumar Hirani,"Comedy, Drama            ",156 min,8.1,"77,298", , ,A gangster sets out to fulfill his father's dream of becoming a doctor.
16,Chak De! India,2007,Director:Shimit Amin,"Drama, Family, Sport            ",153 min,8.2,"77,079",68,$1.11M,"Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds."
17,Drishyam,2015,Director:Nishikant Kamat,"Crime, Drama, Mystery            ",163 min,8.2,"76,164", ,$0.74M,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime."
18,A Wednesday,2008,Director:Neeraj Pandey,"Action, Crime, Drama            ",104 min,8.1,"76,029", , ,A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday.
19,Zindagi Na Milegi Dobara,2011,Director:Zoya Akhtar,"Comedy, Drama            ",155 min,8.2,"72,115", ,$3.11M,Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.
20,Coolie No. 1,2020,Director:David Dhawan,"Action, Comedy, Romance            ",134 min,3.4,"71,640", , ,"After being insulted by a rich businessman named Rosario, pandit Jai Kishen teaches him a lesson by getting his daughter married to Raju - a Coolie posing as a millionaire."
21,Dil Chahta Hai,2001,Director:Farhan Akhtar,"Comedy, Drama, Romance            ",183 min,8.1,"69,270", ,$0.30M,"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension."
22,Dilwale Dulhania Le Jayenge,1995,Director:Aditya Chopra,"Drama, Romance            ",181 min,8.1,"66,068", , ,"When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt."
23,Kal Ho Naa Ho,2003,Director:Nikkhil Advani,"Comedy, Drama, Musical            ",186 min,7.9,"65,916",54,$1.79M,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her."
24,Bhaag Milkha Bhaag,2013,Director:Rakeysh Omprakash Mehra,"Biography, Drama, Sport            ",186 min,8.2,"64,275", ,$1.63M,The truth behind the ascension of Milkha Singh who was scarred because of the India-Pakistan partition.
25,Queen,2013,Director:Vikas Bahl,"Adventure, Comedy, Drama            ",146 min,8.2,"62,689", ,$1.43M,A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.
26,Hera Pheri,2000,Director:Priyadarshan,"Action, Comedy, Crime            ",156 min,8.2,"61,349", , ,"Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?"
27,Kahaani,2012,Director:Sujoy Ghosh,"Mystery, Thriller            ",122 min,8.1,"60,033", ,$1.04M,"A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him."
28,Shershaah,2021,Director:Vishnuvardhan,"Action, Biography, Drama            ",135 min,8.8,"58,591", , ,"This is a story of a PVC awardee brave Indian soldier - Capt. Vikram Batra, who shot to fame and became a household name during the Kargil War in 1999. His indomitable spirit and his unflinching courage in chasing the Pakistani soldiers out of Indian territory contributed immensely in India finally winning the Kargil War in 1999."
29,Gunday,2014,Director:Ali Abbas Zafar,"Action, Drama, Musical            ",152 min,2.4,"58,485", , ,"The lives of Calcutta's most powerful Gunday, Bikram and Bala, changes when Nandita enters it. Then a counter-force takes charge and a thriller unfolds."
30,Ghajini,2008,Director:A.R. Murugadoss,"Action, Drama, Mystery            ",186 min,7.3,"58,343", ,$2.43M,A short-term memory loss patient sets out on his journey to avenge the death of his beloved girl.
31,Hotel Mumbai,2018,Director:Anthony Maras,"Action, Drama, History            ",123 min,7.6,"57,465",62,$9.65M,The true story of the Taj Hotel terrorist attack in Mumbai. Hotel staff risk their lives to keep everyone safe as people make unthinkable sacrifices to protect themselves and their families.
